applicant_name,age,income,loan_amount,credit_score,employment_length,debt_to_income_ratio,home_ownership,loan_purpose,employment_status,loan_default
Amit Agarwal,47,386289,104994,627,0.0,0.3370259568534167,OWN,debt_consolidation,employed,1
Sunita Chakraborty,52,240797,104633,629,2.0,0.1087861249885806,MORTGAGE,home_improvement,self_employed,0
Naresh Reddy,51,252517,193574,526,4.0,0.41153453666855416,RENT,other,self_employed,1
Rajesh Chatterjee,29,630757,148891,608,2.0,0.23499403966731672,OWN,debt_consolidation,employed,0
Deepak Pillai,36,446738,83051,442,0.0,0.09250317893083039,RENT,business,employed,0
Vikram Patel,43,412810,197050,841,3.0,0.0810837616608064,RENT,debt_consolidation,employed,0
Vikram Jain,51,357916,91505,556,2.0,0.327991731897475,RENT,debt_consolidation,employed,1
Shweta Banerjee,34,379802,172116,808,7.0,0.044442937152429696,RENT,debt_consolidation,employed,0
Swati Patel,37,746727,179046,653,1.0,0.1348444866963238,MORTGAGE,home_improvement,employed,0
Shweta Chakraborty,26,374137,231939,706,1.0,0.13592978596963648,OWN,debt_consolidation,retired,0
Neha Chakraborty,25,226266,331928,601,1.0,0.15962250922459484,RENT,business,retired,0
Deepak Nair,49,641667,94289,670,1.0,0.23795522913529962,MORTGAGE,other,employed,0
Kavita Kumar,56,399337,159374,715,4.0,0.092768685931666,MORTGAGE,debt_consolidation,self_employed,0
Vijay Chatterjee,39,449413,145723,716,3.0,0.12879360929327838,MORTGAGE,education,employed,1
Amit Verma,52,988347,193590,727,2.0,0.19481898699827033,OWN,debt_consolidation,employed,0
Rekha Singh,44,437888,177418,613,2.0,0.19393608647208266,MORTGAGE,debt_consolidation,employed,1
Vikram Mishra,32,511238,141348,601,2.0,0.2883626377562097,OWN,debt_consolidation,self_employed,1
Geeta Iyer,44,245373,136439,490,17.0,0.06073714439813277,RENT,home_improvement,employed,1
Divya Gupta,58,396394,104132,702,1.0,0.23093400413378662,OWN,debt_consolidation,unemployed,1
Deepak Menon,39,600046,241625,758,,0.14280342577662514,OWN,education,unemployed,1
Divya Pillai,58,203274,195571,811,6.0,0.20174585315737498,OWN,debt_consolidation,employed,0
Vijay Patel,18,489149,234945,680,,0.10667439952813791,MORTGAGE,home_improvement,employed,1
Swati Sharma,49,465280,143751,573,24.0,0.24734028290903115,OWN,business,employed,0
Anita Singh,41,451641,125149,480,7.0,0.09639520885182354,MORTGAGE,debt_consolidation,self_employed,1
Anita Banerjee,36,743095,105733,754,5.0,0.22903784250811754,MORTGAGE,business,retired,0
Ramesh Patel,41,522938,187881,470,2.0,0.21922105436307707,OWN,debt_consolidation,employed,1
Ramesh Reddy,18,926376,107375,615,4.0,0.12277436628885735,OWN,debt_consolidation,employed,0
Anjali Shah,37,269198,340941,627,1.0,0.38110841599559947,OWN,education,self_employed,1
Neha Mishra,44,473526,96465,643,0.0,0.22341681517268752,OWN,debt_consolidation,employed,1
Manish Sharma,57,461498,181582,653,9.0,,MORTGAGE,education,employed,0
Shweta Patel,33,259204,304596,663,11.0,0.17796855460718347,RENT,debt_consolidation,employed,1
Vijay Mishra,30,713649,206826,408,0.0,0.0945457148368018,OWN,home_improvement,self_employed,1
Vijay Singh,33,1414570,174602,651,7.0,0.21349457685225462,RENT,debt_consolidation,employed,0
Rekha Shah,50,438667,110481,427,6.0,0.24928425005990262,MORTGAGE,home_improvement,employed,0
Dinesh Mukherjee,43,569497,93647,723,0.0,0.08836310267597132,RENT,home_improvement,self_employed,0
Divya Agarwal,33,461510,221465,594,2.0,0.03583128731254762,MORTGAGE,debt_consolidation,unemployed,1
Vikram Nair,46,309653,297288,434,2.0,0.028251687514801588,OWN,home_improvement,self_employed,1
Ramesh Mishra,41,200000,136551,568,7.0,0.3165491784490902,MORTGAGE,debt_consolidation,employed,1
Swati Mukherjee,51,310864,103194,592,,0.18242809317023517,MORTGAGE,education,self_employed,1
Sunita Sharma,31,220581,60884,769,0.0,,MORTGAGE,home_improvement,employed,0
Divya Reddy,36,1037216,109940,669,4.0,0.13326234114387744,MORTGAGE,business,employed,0
Rashmi Sharma,35,417669,155521,684,7.0,0.09830237076504565,RENT,education,unemployed,0
Anjali Nair,22,372145,308553,768,7.0,0.041020763171933886,MORTGAGE,debt_consolidation,employed,0
Naresh Shah,43,690089,213043,640,0.0,0.33003322177641453,MORTGAGE,debt_consolidation,employed,0
Kavita Verma,43,252489,183879,725,3.0,0.07087815299909961,RENT,debt_consolidation,self_employed,1
Kavita Chakraborty,40,301512,138683,718,9.0,0.2047466918358122,OWN,debt_consolidation,employed,0
Amit Gupta,37,457730,128892,521,1.0,0.20747103975170134,RENT,debt_consolidation,unemployed,1
Shweta Chatterjee,23,739984,285574,797,2.0,0.12582247090533918,MORTGAGE,home_improvement,employed,0
Dinesh Gupta,34,568548,176362,507,8.0,0.0855032789363256,RENT,home_improvement,self_employed,1
Ramesh Banerjee,35,500900,70189,741,0.0,0.1953788232962427,MORTGAGE,debt_consolidation,employed,0
Ramesh Kumar,30,460035,124316,498,9.0,0.10700640186328107,MORTGAGE,debt_consolidation,employed,0
Vikram Chatterjee,38,540428,115463,710,1.0,0.07218420641409926,RENT,debt_consolidation,employed,0
Swati Mishra,44,489346,130809,836,0.0,0.08521548808532506,MORTGAGE,debt_consolidation,employed,0
Sanjay Mukherjee,62,264345,203855,628,1.0,0.12069736817571386,MORTGAGE,business,self_employed,1
Rekha Ghosh,42,452724,155908,624,0.0,0.041821163170724325,OWN,business,employed,0
Neha Agarwal,43,258630,157826,711,0.0,0.020141617677623402,MORTGAGE,debt_consolidation,employed,0
Sunita Banerjee,39,460717,275237,617,5.0,0.031170420945229375,MORTGAGE,education,employed,1
Ramesh Agarwal,18,347901,123181,831,1.0,0.15959136150494702,MORTGAGE,home_improvement,employed,0
Mukesh Shah,39,1574881,343066,669,13.0,,RENT,home_improvement,employed,0
Deepak Nair,40,433675,124427,617,3.0,,OWN,debt_consolidation,employed,0
Manish Mukherjee,69,219230,168666,595,3.0,0.28046517220716055,MORTGAGE,debt_consolidation,employed,0
Manish Singh,37,413705,145439,556,2.0,0.08402279965023193,MORTGAGE,education,self_employed,1
Kavita Jain,43,573595,170991,587,5.0,0.15830609704801277,OWN,other,unemployed,1
Amit Reddy,39,1021397,194431,614,3.0,0.2616694212517889,MORTGAGE,education,employed,1
Rahul Chakraborty,25,329480,193597,601,,0.09636998687111797,RENT,debt_consolidation,employed,1
Swati Jain,53,200543,120421,584,,0.25741430992498415,RENT,debt_consolidation,self_employed,0
Ajay Jain,49,665582,103863,850,2.0,0.16029324031179815,MORTGAGE,home_improvement,unemployed,0
Rahul Gupta,49,221837,442975,546,0.0,0.20350577893503347,RENT,education,employed,0
Mukesh Verma,29,355728,134108,664,,0.3005967354541845,RENT,debt_consolidation,unemployed,1
Kavita Gupta,56,388943,215277,709,5.0,0.11111810027134796,MORTGAGE,education,employed,0
Naresh Verma,23,427275,85557,713,1.0,0.22032908929419573,MORTGAGE,business,employed,0
Rekha Reddy,47,624422,145532,644,8.0,0.009417542720860953,MORTGAGE,education,employed,0
Amit Mukherjee,66,314325,154681,625,5.0,0.021813796559873398,MORTGAGE,business,unemployed,0
Kavita Patel,28,385823,196639,695,5.0,0.21397497605213397,RENT,business,employed,1
Anita Chatterjee,33,439267,54776,676,2.0,0.11953664738179488,OWN,debt_consolidation,employed,0
Rajesh Banerjee,41,476774,173938,624,16.0,0.16579268984331194,MORTGAGE,education,employed,0
Vikram Chakraborty,33,464591,102755,493,1.0,0.06945813800531804,RENT,education,employed,1
Ajay Chatterjee,21,550181,185301,603,,0.2080024861698263,MORTGAGE,other,self_employed,0
Kavita Chatterjee,40,674630,107523,535,1.0,0.3091540474057383,RENT,debt_consolidation,retired,1
Geeta Iyer,27,538378,115590,583,6.0,0.14255116675314666,RENT,business,retired,0
Rajesh Singh,45,555038,145881,653,0.0,0.1679041604379787,RENT,other,self_employed,0
Anjali Iyer,28,200563,106837,685,0.0,0.16704369044713782,OWN,business,self_employed,1
Pooja Iyer,58,453664,134562,828,8.0,0.08013890370809701,MORTGAGE,debt_consolidation,retired,0
Neha Pillai,30,562279,100977,596,,0.12430260907473192,OWN,other,employed,0
Rekha Verma,36,636965,78177,727,2.0,0.040198595276902185,RENT,debt_consolidation,employed,0
Anita Singh,49,312958,244551,680,4.0,0.37603924844366526,RENT,debt_consolidation,employed,0
Priya Menon,25,318214,96914,779,6.0,0.22052846081277874,OWN,home_improvement,employed,0
Shweta Reddy,42,332019,151528,707,1.0,0.20957013940471517,RENT,debt_consolidation,retired,0
Geeta Singh,55,578507,219950,549,1.0,0.169837481010123,RENT,debt_consolidation,employed,1
Kavita Agarwal,20,741878,127264,477,15.0,0.4004669805726103,MORTGAGE,home_improvement,employed,1
Rajesh Banerjee,42,360868,117000,681,4.0,0.015410873910020398,MORTGAGE,business,self_employed,1
Manish Kumar,43,696610,178170,597,2.0,0.05407984610345847,MORTGAGE,other,unemployed,0
Neha Mishra,49,470588,254529,551,8.0,0.2688924841829526,MORTGAGE,education,employed,1
Sanjay Pillai,25,415757,101953,523,3.0,0.29168974363471245,OWN,education,unemployed,1
Kavita Gupta,24,398040,153267,666,1.0,0.14084811113981707,MORTGAGE,home_improvement,employed,0
Manish Banerjee,46,642617,81389,800,1.0,0.34409890686443095,OWN,debt_consolidation,employed,1
Anjali Verma,43,520626,139068,609,2.0,0.20455731921388817,RENT,business,employed,1
Suresh Banerjee,43,1380439,164996,709,9.0,0.41327143287422086,OWN,business,employed,0
Dinesh Sharma,44,288914,115629,639,0.0,0.26383081993815116,RENT,business,employed,0
Amit Jain,31,573234,135564,521,1.0,0.1968302750615849,RENT,debt_consolidation,unemployed,0
Sneha Iyer,42,339557,92661,723,11.0,0.13152686440489364,RENT,home_improvement,employed,0
Rashmi Chatterjee,43,286460,167850,540,0.0,0.25368271726869024,MORTGAGE,home_improvement,employed,1
Rajesh Menon,31,440016,248271,652,4.0,0.05668175338489141,MORTGAGE,debt_consolidation,employed,1
Naresh Verma,62,473864,104939,615,1.0,0.09865542992709625,OWN,other,retired,0
Sneha Menon,45,1903275,126871,739,4.0,0.14319638054896655,RENT,home_improvement,employed,0
Rahul Menon,25,403498,198991,544,,0.2997722753909484,RENT,education,employed,1
Sanjay Pillai,47,251427,264298,689,0.0,0.21706251859740863,OWN,debt_consolidation,employed,1
Meena Iyer,28,507121,89565,566,4.0,0.25251875349467917,MORTGAGE,business,retired,0
Mukesh Banerjee,49,200000,152129,598,5.0,0.25667056106610164,MORTGAGE,other,retired,0
Anita Chatterjee,53,422532,182271,300,5.0,0.29106500366527777,RENT,debt_consolidation,employed,1
Vikram Agarwal,30,445972,156244,850,5.0,0.1753424549940337,OWN,debt_consolidation,employed,0
Meena Agarwal,51,658223,60432,705,3.0,0.2227225639616897,MORTGAGE,home_improvement,unemployed,1
Priya Chakraborty,44,719859,198875,573,3.0,0.20567558788255555,RENT,home_improvement,self_employed,1
Shweta Banerjee,49,343937,298861,537,5.0,0.29479203702504225,OWN,business,unemployed,1
Priya Reddy,62,410320,170529,600,5.0,0.14339070398070589,RENT,home_improvement,employed,0
Priya Verma,37,301624,107748,721,5.0,0.10304968077889912,RENT,business,retired,0
Ajay Chatterjee,30,251693,132554,460,4.0,0.034787057485937176,MORTGAGE,home_improvement,employed,0
Vijay Mukherjee,29,516560,330368,635,0.0,0.1449187510820815,MORTGAGE,debt_consolidation,employed,0
Sneha Verma,30,234030,234212,827,1.0,0.10300675223173947,OWN,other,employed,0
Vijay Gupta,39,359578,210241,536,1.0,0.16941177854860467,OWN,debt_consolidation,employed,1
Rekha Mishra,44,268985,187693,658,12.0,0.04312126139942201,MORTGAGE,business,self_employed,0
Amit Ghosh,43,582358,124934,850,7.0,0.0384948453573042,RENT,debt_consolidation,employed,0
Amit Jain,49,1088939,150207,713,4.0,0.07153893108812209,RENT,other,employed,0
Deepak Singh,40,230776,157760,662,1.0,0.3637232924503119,MORTGAGE,other,employed,1
Naresh Chakraborty,57,200000,202770,700,0.0,0.12834123270168946,MORTGAGE,home_improvement,retired,0
Kavita Chakraborty,36,415632,297618,609,11.0,0.16850873536308505,MORTGAGE,debt_consolidation,employed,0
Divya Verma,72,445899,254571,779,11.0,0.28719958571913423,MORTGAGE,education,employed,0
Divya Gupta,47,493525,92248,610,0.0,0.17794440936765205,RENT,debt_consolidation,employed,1
Neha Chakraborty,29,353924,178010,454,7.0,0.1759085958216564,MORTGAGE,education,self_employed,0
Ajay Mukherjee,27,400184,218535,610,,0.07552502244981252,OWN,other,employed,0
Arun Patel,45,531657,208468,553,1.0,0.32132408027109355,RENT,business,employed,0
Rajesh Reddy,37,744311,126539,621,6.0,0.09916356981489662,OWN,other,employed,0
Kavita Patel,48,200000,522115,624,4.0,0.09470524472426273,RENT,debt_consolidation,unemployed,1
Deepak Kumar,45,367886,97652,769,7.0,0.20389164197027163,RENT,other,unemployed,1
Anita Shah,39,492329,105527,719,0.0,0.24655920488150843,RENT,debt_consolidation,employed,0
Manish Reddy,29,279571,178695,676,1.0,0.13528622953510785,RENT,debt_consolidation,employed,1
Sunita Gupta,21,1051349,379542,649,1.0,0.0768927557834687,RENT,other,employed,0
Rahul Pillai,34,321996,116485,544,2.0,0.10068645702004611,RENT,business,unemployed,1
Divya Chakraborty,50,433372,146337,431,3.0,0.1434203349951471,RENT,education,employed,0
Anjali Gupta,42,584207,250425,661,1.0,0.200290786663993,RENT,education,employed,1
Swati Agarwal,25,329179,161596,729,2.0,0.09622431987590292,RENT,business,employed,0
Vijay Patel,42,200000,142366,639,2.0,0.5015515524689544,RENT,debt_consolidation,unemployed,1
Vikram Nair,44,357064,204077,596,6.0,0.34780704697782555,OWN,business,employed,1
Naresh Gupta,29,740232,181499,696,4.0,0.1541827970354726,OWN,debt_consolidation,employed,0
Naresh Jain,41,373828,245775,641,5.0,0.07584791892697926,RENT,debt_consolidation,self_employed,1
Pooja Shah,40,289752,272825,818,1.0,0.06456609055902271,RENT,business,employed,0
Sneha Pillai,26,702805,184020,773,1.0,0.34662979821563145,MORTGAGE,other,self_employed,0
Dinesh Banerjee,44,374974,182899,745,0.0,0.22277303351320696,OWN,education,employed,0
Mukesh Shah,46,342805,177308,725,0.0,0.04190485566265933,MORTGAGE,debt_consolidation,employed,0
Divya Mukherjee,52,476740,197926,520,1.0,0.24521109848176287,MORTGAGE,education,self_employed,1
Rahul Banerjee,52,650420,166386,716,,0.06365798547471388,RENT,other,employed,0
Meena Singh,23,1455495,162715,687,4.0,0.09032684373313063,OWN,debt_consolidation,employed,0
Naresh Kumar,28,669052,262669,710,31.0,0.2365460131120149,MORTGAGE,debt_consolidation,employed,0
Sanjay Singh,46,790104,298476,699,,0.1330182239708653,OWN,debt_consolidation,retired,0
Naresh Singh,46,343525,89052,695,8.0,0.3296866579171656,MORTGAGE,home_improvement,self_employed,0
Shweta Banerjee,46,264888,163408,850,0.0,0.2608413593444177,MORTGAGE,debt_consolidation,employed,0
Vikram Patel,80,456418,123564,642,5.0,0.18062465544354325,OWN,home_improvement,employed,0
Meena Ghosh,46,466766,143718,743,5.0,0.040155465039876,RENT,education,employed,0
Rajesh Reddy,53,258007,191186,602,11.0,0.13193722349337797,RENT,home_improvement,employed,0
Rajesh Patel,51,405287,212729,729,0.0,,RENT,other,employed,0
Vijay Chatterjee,47,540180,155616,743,1.0,0.12911940200391184,RENT,home_improvement,employed,0
Sanjay Verma,36,529769,75709,686,0.0,0.24824725964558458,OWN,debt_consolidation,self_employed,1
Amit Iyer,49,569289,110633,816,2.0,0.16988359338363354,RENT,home_improvement,employed,0
Dinesh Patel,30,511694,232954,561,12.0,0.10975919744815382,MORTGAGE,other,employed,0
Priya Sharma,37,343346,54384,601,7.0,0.11111770843268717,MORTGAGE,debt_consolidation,employed,0
Arun Kumar,34,342165,261704,671,6.0,0.07003656945857356,OWN,debt_consolidation,employed,0
Suresh Patel,40,242928,200484,738,3.0,0.09007093222936027,RENT,education,employed,0
Sneha Pillai,67,1079909,275535,667,10.0,0.18612782333441175,RENT,debt_consolidation,employed,0
Swati Iyer,18,445398,150327,778,2.0,0.23762876161096785,MORTGAGE,education,employed,0
Swati Sharma,48,395368,71356,583,0.0,0.10403424247521482,OWN,home_improvement,employed,0
Anjali Gupta,20,278063,193328,535,9.0,0.2355611207955857,RENT,education,employed,0
Naresh Kumar,34,1919986,270996,680,1.0,0.14827848174162375,MORTGAGE,business,employed,0
Swati Verma,53,258677,235599,642,0.0,0.30339063589165427,RENT,debt_consolidation,employed,0
Dinesh Nair,40,357030,124856,704,0.0,0.2126150773250744,OWN,home_improvement,employed,0
Ajay Banerjee,27,544660,168502,647,4.0,0.1827292669406274,MORTGAGE,debt_consolidation,employed,1
Vikram Iyer,31,597259,131513,615,4.0,0.20268998750788117,RENT,education,self_employed,0
Vikram Verma,48,714234,117276,642,1.0,0.24375802639255875,MORTGAGE,business,employed,0
Meena Nair,31,1092308,238507,652,6.0,0.11481044786307623,MORTGAGE,education,unemployed,1
Naresh Verma,42,569821,100809,619,7.0,0.35293817817045076,RENT,home_improvement,employed,1
Naresh Nair,40,260924,113831,629,12.0,0.07884382154950828,MORTGAGE,business,employed,0
Rajesh Jain,32,389075,104651,609,4.0,0.20530823330984424,OWN,debt_consolidation,employed,0
Anita Singh,65,516027,89670,735,7.0,0.21160652839683328,MORTGAGE,debt_consolidation,employed,0
Pooja Banerjee,47,1244336,172571,669,6.0,0.24951716549657474,RENT,debt_consolidation,employed,0
Naresh Iyer,18,219937,259004,850,1.0,0.05514008831517369,MORTGAGE,education,employed,0
Divya Kumar,42,807168,151153,666,1.0,0.4038853691810629,MORTGAGE,home_improvement,self_employed,1
Sunita Jain,32,484056,89116,594,3.0,0.0897944256054352,MORTGAGE,home_improvement,self_employed,1
Rekha Mishra,50,672606,227744,850,0.0,0.2295567818536904,MORTGAGE,other,employed,0
Geeta Mishra,30,420417,319425,691,1.0,0.20065338232555222,OWN,home_improvement,employed,0
Naresh Iyer,38,290332,125681,749,3.0,0.24335814129575462,RENT,business,employed,0
Rahul Mishra,46,643988,134400,709,0.0,0.15071558963549764,RENT,other,employed,0
Shweta Reddy,50,613671,200038,712,0.0,0.05087712752263179,RENT,home_improvement,employed,0
Geeta Iyer,25,719296,311373,703,3.0,0.2450257644674029,MORTGAGE,education,employed,0
Geeta Jain,35,439480,132199,539,6.0,0.16091048013885803,MORTGAGE,home_improvement,employed,0
Sanjay Mishra,34,327777,95513,686,8.0,0.17781618579717845,OWN,debt_consolidation,employed,0
Geeta Singh,32,202927,209518,517,3.0,0.027324623804783933,OWN,education,employed,1
Deepak Verma,61,666427,224050,632,3.0,0.3916439239752796,MORTGAGE,other,employed,1
Rekha Chatterjee,44,546858,163154,577,2.0,0.07183511800552882,RENT,home_improvement,employed,0
Kavita Agarwal,24,272967,130189,685,1.0,0.09166903571282796,MORTGAGE,home_improvement,employed,0
Dinesh Pillai,51,337970,242256,683,0.0,0.18259956015936168,RENT,home_improvement,employed,0
Pooja Shah,65,350326,201030,698,7.0,0.21029940759231572,RENT,other,employed,0
Dinesh Jain,52,210766,119685,678,3.0,0.2653936504664122,MORTGAGE,other,employed,1
Kavita Sharma,21,293948,165982,589,7.0,0.06840126818144639,RENT,debt_consolidation,employed,1
Anita Agarwal,34,250969,94780,623,6.0,0.40055922454881576,RENT,education,employed,0
Deepak Reddy,55,359964,214133,742,1.0,0.12618905693032584,MORTGAGE,business,employed,0
Sanjay Gupta,31,305789,146547,756,3.0,0.22955322921657795,OWN,debt_consolidation,employed,1
Ramesh Patel,45,200000,136723,535,2.0,0.11208945566427865,OWN,home_improvement,employed,0
Pooja Mukherjee,49,1216264,160628,496,2.0,0.3222419067696554,MORTGAGE,debt_consolidation,employed,1
Deepak Banerjee,28,827587,165400,577,3.0,,MORTGAGE,other,employed,1
Arun Sharma,39,299685,232808,754,20.0,0.13229701355264606,OWN,debt_consolidation,employed,0
Anjali Patel,18,506971,206165,771,8.0,0.2744700772163372,OWN,other,self_employed,1
Sneha Chakraborty,27,545104,152884,557,11.0,0.30832455205275916,MORTGAGE,other,employed,1
Sanjay Verma,36,802544,220900,680,0.0,0.23629911896288092,RENT,debt_consolidation,employed,0
Anjali Ghosh,25,293812,191050,833,0.0,0.1592743240934836,OWN,education,employed,0
Neha Nair,59,763793,137222,691,0.0,0.1647607886174151,RENT,home_improvement,employed,0
Shweta Reddy,22,336397,154834,792,1.0,0.2824140396946348,RENT,other,employed,0
Neha Ghosh,34,226855,153385,749,2.0,0.30833911676551057,OWN,education,employed,1
Vijay Singh,41,635437,199207,558,5.0,0.08947434518356227,MORTGAGE,business,employed,0
Deepak Chakraborty,57,843554,140532,631,3.0,0.03771867825666515,OWN,other,employed,0
Rajesh Patel,22,1613561,139223,653,11.0,0.05169104806258904,OWN,debt_consolidation,unemployed,1
Priya Iyer,53,242834,357718,660,14.0,0.2939432059842104,OWN,home_improvement,retired,1
Rahul Mukherjee,40,627475,237018,741,0.0,0.15348081659431728,MORTGAGE,education,employed,0
Sunita Banerjee,28,360446,120061,690,9.0,0.11347512162052466,RENT,debt_consolidation,self_employed,1
Anita Agarwal,45,654534,204510,356,3.0,0.10336220976234668,OWN,other,employed,0
Pooja Iyer,42,212087,170644,518,3.0,0.3581742587288724,RENT,education,employed,0
Amit Reddy,32,235299,190350,431,7.0,0.30307543536549547,RENT,home_improvement,employed,1
Divya Reddy,40,300157,171946,667,0.0,0.17363368959678696,OWN,debt_consolidation,retired,0
Anita Singh,35,460230,261936,674,10.0,0.2475751063559367,RENT,debt_consolidation,employed,0
Shweta Shah,41,321084,186884,678,5.0,0.21413449584439073,OWN,debt_consolidation,employed,0
Vijay Shah,47,615092,158762,554,10.0,0.1203630902236161,MORTGAGE,home_improvement,self_employed,1
Anita Iyer,59,739291,246933,717,25.0,0.21087020150269356,MORTGAGE,education,employed,0
Arun Menon,25,597069,178673,721,3.0,0.14131342330228383,MORTGAGE,home_improvement,employed,0
Mukesh Shah,65,993901,170858,524,0.0,0.3046532008470715,OWN,home_improvement,unemployed,1
Swati Kumar,18,544657,184537,503,0.0,0.1822025871390776,MORTGAGE,debt_consolidation,employed,0
Rajesh Iyer,38,240758,156773,649,1.0,0.21307270054260494,RENT,debt_consolidation,employed,1
Anita Menon,47,874745,163356,829,0.0,0.15112607654561286,OWN,other,employed,0
Anita Mishra,43,326904,128710,819,8.0,0.18432396025072176,OWN,debt_consolidation,employed,0
Divya Chakraborty,32,697466,120515,706,1.0,0.24453295087711027,MORTGAGE,debt_consolidation,self_employed,0
Meena Menon,37,971762,109160,577,18.0,0.1783630054806639,RENT,education,unemployed,1
